Date,Total,hour,day_of_week,month,year,weekend,season
2020-01-01 00:00:00,11.0,0,2,1,2020,0,winter
2020-01-01 01:00:00,33.0,1,2,1,2020,0,winter
2020-01-01 02:00:00,16.0,2,2,1,2020,0,winter
2020-01-01 03:00:00,4.0,3,2,1,2020,0,winter
2020-01-01 04:00:00,1.0,4,2,1,2020,0,winter
2020-01-01 05:00:00,3.0,5,2,1,2020,0,winter
2020-01-01 06:00:00,9.0,6,2,1,2020,0,winter
2020-01-01 07:00:00,4.0,7,2,1,2020,0,winter
2020-01-01 08:00:00,18.0,8,2,1,2020,0,winter
2020-01-01 09:00:00,30.0,9,2,1,2020,0,winter
2020-01-01 10:00:00,66.0,10,2,1,2020,0,winter
2020-01-01 11:00:00,86.0,11,2,1,2020,0,winter
2020-01-01 12:00:00,90.0,12,2,1,2020,0,winter
2020-01-01 13:00:00,102.0,13,2,1,2020,0,winter
2020-01-01 14:00:00,119.0,14,2,1,2020,0,winter
2020-01-01 15:00:00,103.0,15,2,1,2020,0,winter
2020-01-01 16:00:00,64.0,16,2,1,2020,0,winter
2020-01-01 17:00:00,38.0,17,2,1,2020,0,winter
2020-01-01 18:00:00,17.0,18,2,1,2020,0,winter
2020-01-01 19:00:00,14.0,19,2,1,2020,0,winter
2020-01-01 20:00:00,9.0,20,2,1,2020,0,winter
2020-01-01 21:00:00,10.0,21,2,1,2020,0,winter
2020-01-01 22:00:00,4.0,22,2,1,2020,0,winter
2020-01-01 23:00:00,2.0,23,2,1,2020,0,winter
2020-01-02 00:00:00,2.0,0,3,1,2020,0,winter
2020-01-02 01:00:00,1.0,1,3,1,2020,0,winter
2020-01-02 02:00:00,1.0,2,3,1,2020,0,winter
2020-01-02 03:00:00,1.0,3,3,1,2020,0,winter
2020-01-02 04:00:00,2.0,4,3,1,2020,0,winter
2020-01-02 05:00:00,19.0,5,3,1,2020,0,winter
2020-01-02 06:00:00,67.0,6,3,1,2020,0,winter
2020-01-02 07:00:00,215.0,7,3,1,2020,0,winter
2020-01-02 08:00:00,390.0,8,3,1,2020,0,winter
2020-01-02 09:00:00,211.0,9,3,1,2020,0,winter
2020-01-02 10:00:00,89.0,10,3,1,2020,0,winter
2020-01-02 11:00:00,35.0,11,3,1,2020,0,winter
2020-01-02 12:00:00,41.0,12,3,1,2020,0,winter
2020-01-02 13:00:00,30.0,13,3,1,2020,0,winter
2020-01-02 14:00:00,51.0,14,3,1,2020,0,winter
2020-01-02 15:00:00,98.0,15,3,1,2020,0,winter
2020-01-02 16:00:00,220.0,16,3,1,2020,0,winter
2020-01-02 17:00:00,345.0,17,3,1,2020,0,winter
2020-01-02 18:00:00,196.0,18,3,1,2020,0,winter
2020-01-02 19:00:00,73.0,19,3,1,2020,0,winter
2020-01-02 20:00:00,35.0,20,3,1,2020,0,winter
2020-01-02 21:00:00,23.0,21,3,1,2020,0,winter
2020-01-02 22:00:00,8.0,22,3,1,2020,0,winter
2020-01-02 23:00:00,7.0,23,3,1,2020,0,winter
2020-01-03 00:00:00,2.0,0,4,1,2020,0,winter
2020-01-03 01:00:00,0.0,1,4,1,2020,0,winter
2020-01-03 02:00:00,1.0,2,4,1,2020,0,winter
2020-01-03 03:00:00,2.0,3,4,1,2020,0,winter
2020-01-03 04:00:00,6.0,4,4,1,2020,0,winter
2020-01-03 05:00:00,17.0,5,4,1,2020,0,winter
2020-01-03 06:00:00,72.0,6,4,1,2020,0,winter
2020-01-03 07:00:00,197.0,7,4,1,2020,0,winter
2020-01-03 08:00:00,342.0,8,4,1,2020,0,winter
2020-01-03 09:00:00,220.0,9,4,1,2020,0,winter
2020-01-03 10:00:00,90.0,10,4,1,2020,0,winter
2020-01-03 11:00:00,83.0,11,4,1,2020,0,winter
2020-01-03 12:00:00,112.0,12,4,1,2020,0,winter
